احتلام	اِحْتِلَام	wet dream
اغتصاب	اِغْتِصَاب	rape
بز	بَزّ	tit, boob
بزاز	بَزَّاز	tits, boobs
بظر	بَظْر	clitoris
بيضان	بَيْضَان	balls ["two eggs"]
تمص	تَمَصُّ	you suck
ثدي ثَدْي	breast
جماع	جِمَاع	coitus
حلمة	حَلَمَة	nipple
خراء	خَرَاء	shit
خرئ	خَرِئَ	he shat
خنثي	خُنْثَى	hermaphrodite
خوخة	خَوْخَة	gash, fanny
خول	خَوَّلَ	fag
زبر	زُبْر	penis
زب	زُبّ	penis
سحاق	سِحَاق	lesbianism
سحاقية	سِحَاقِيَّة	lesbian
سكس	سِكس	sex
شاذ	شَاذّ	homosexual
شرج	شَرَج	anus
شرموطة	شَرْمُوطَة	whore
شهوة	شَهْوَة	lust
طيز	طَيز	ass; vagina [Libya]
عاهرة	عَاهِرَة	adulteress; whore
عرص	عَرْص	pimp [Egypt]
فاحشة	فَاحِشَة‏	prostitute
فرج	فَرْج	vulva
قحبة	قَحْبَة	prostitute ["coughing woman"]
قضيب	قَضِيب	penis ["stick"]
كس أختك		كُس أُخْتَك‏	fuck! ["your sister's pussy"
كس	كِس	pussy
لبوة	لَبْوَة	whore ["lioness"]
لحس	لَحِسَ	he licked
لعق	لَعِقَ	he licked
لواط	لِوَاط	sodomy; pederasty
لوطي	لُوطِيّ	gay, homosexual
مبادل	مَبادِل "casual dress"
متناك	مُتَنَاك	fucking
متناكة	مُتَنَاكَة	prostitute
مص	مَصَّ	he sucked
مفلقسة	مَفْلَقِسَة	perverted
ناك	نَاكَ 	he fucked
نكح	نَكَحَ	he fucked
نيك	نَيْك	fuck

