آب کیر	āb-e kir	cum, semen
ارگاسم	orgāsm	orgasm
ان	an	shit
اون ممه رو لولو برد	un mame rā lulu bord	that ship has sailed ["that boob has been taken by the bogeyman"]
برهنه	berahne	naked
بکن‌بکن	bokon-bokon	to fuck
پورن	porn	porn
پورنو	porno	porn
تجاوز	taǧāwuz	rape
تخمی	toxmi	spermatic
جاکش	ǧākeš	pimp
جق	ǧaġ	handjob
جقی	ǧaġi	wanker
جلق	ǧalġ	masturbation
جلق زدن	ǧalġ zadan	to masturbate
جنده	ǧende	prostitute
جنده‌خانه	ǧende-xāne	whorehouse
چس	čos	silent fart
چوچول	čučul	pee-pee
حشر	hašr	inbreed[?]
حشری	hašari	horny
حشری شدن	hašari šodan	to get horny
خایه	xāje	testicle
داف	dāf	bitch, chick
دودول	dudul	weenie, dick
ریدن	ridan	to shit
ساک زدن	sāk zadan	to suck [penis]
سیخ خوردن	six xordan	to suck dick
سر کیر	sar-e kir	dickhead, glans penis
سکس	seks	sex
سکسی	seksi	sexy
سکس کردن	seks kardan	to have sex
سوپر	supar	porn
سوراخ کس	surāx kos	vagina
سوراخ کون	surāx kun	asshole
شق کردن	šaǧ kardan	to get an erection
شهوت	šahwat	lust
شهوتی	šahwati	lusty, horny
شونبول	šumbul	penis
عن	an	shit
فاحشه	fāheše	whore
فیلم سوپر	film-e supar	porn film
قس	ġos	pussy, cunt
کیر	kir	penis, cock
کیری	kiri	dickhead
کردن	kardan	to do [= fuck]
کردنی	kardani	fuckable
کیر مکیدن	kir mekidan	to suck dick
کس	kos	cunt
کس دادن	kos dādan	to fuck ["to give pussy"]
کسشعر	koseše'r	bullshit
کس کردن	kos kardan	to fuck ["to do pussy]
کسکش	koskeš	pimp
کس‌کش	koskeš	pimp
کس لیسیدن	kos lisidan	to lick pussy
کله کیر	kalle-je kir	dickhead, glans penis 
کوس	kos	cunt
کون	kun	anus
کونی	kuni	faggot, receiving partner of anal sex
کون دادن	kun dādan	to fuck ["to give ass"]
کون کردن	kun kardan	to ass-fuck
کونکش	kun-keš	pimp of gay prostitutes
کون‌گشاد	kungošād	lazy arse
گاییدنی	gājedani	fuckable
گائیدن	gājidan	to fuck
لاپا	lāpā	thighs
لاپایی	lāpāji	thighing
لاشی	lāši	piece of shit
لخت	loxt	nude
لش	laš	fatso
مادر جنده	mādar ǧende	son of a bitch
مادر کسده	mādar kos-de	son of a bitch
ممه	mame	boob, tit
منی	mani	semen
هرزه	harze	lewd, obscene
