00後	línglínghòu
0	líng
10000米	一wàn-mǐ
100米	一bǎi-mǐ
100米欄	一bǎi-mǐ lán
100米跨欄	一bǎi-mǐ kuàlán
10	yīlíng
10月	shíyuè
110	yāoyāolíng,yīyīlíng
110	yāoyāolíng,yīyīlíng
110米欄	一bǎiyīshí-mǐ lán
110米跨欄	一bǎiyīshí-mǐ kuàlán
119	yāoyāojiǔ,yīyījiǔ
11區	shíyī-qū
11月	shíyīyuè
120	yāo'èrlíng
12月	shí'èryuè
1500米	一qiānwǔbǎi-mǐ
+1	jiāyī
1	yī
1月	yīyuè
1號電池	yīhào diànchí
200米	liǎngbǎi-mǐ,èrbǎi-mǐ
20國集團	Èrshí Guó Jítuán
233	èrsānsān
2月	èryuè
2號電池	èrhào diànchí
3000米障礙	sānqiān-mǐ zhàng'ài
3D打印	sāndī dǎyìn
3K產業	sān kèi chǎnyè
3P	sānpī
3月	sānyuè
3號電池	sānhào diànchí
400米	sìbǎi-mǐ
400米欄	sìbǎi-mǐ lán
400米跨欄	sìbǎi-mǐ kuàlán
4×100米	sì-chéng-一bǎi-mǐ
419	?
4×400米	sì-chéng-sìbǎi-mǐ
4月	sìyuè
4號電池	sìhào diànchí
5000米	wǔqiān-mǐ
502	wǔlíng'èr
502膠	wǔlíng'èr-jiāo
502膠水	wǔlíng'èr-jiāoshuǐ
555	wū-wū-wū
5月	wǔyuè
5號電池	wǔhào diànchí
666	liùliùliù
666	liùliùliù
69	liùshíjiǔ
69式	liùjiǔshì
6月	liùyuè
70後	qīlínghòu
7月	qīyuè
7號電池	qīhào diànchí
800米	bābǎi-mǐ
80後	bālínghòu
87	?
88	báibái,bāibái,bàibài,bābā
8月	bāyuè
90後	jiǔlínghòu
9月	jiǔyuè
AAA電池	sān-ēi diànchí
AA制	ēi'ēi zhì
AA電池	ēi-ēi diànchí
ABC冰	ēi-bī-xī-bīng
ABC群島	Ēi-Bì-Sēi Qúndǎo,Ēi-Bī-Xī Qúndǎo
ABO血型系統	ēi-bì-ōu 血xíng xìtǒng
ABS樹脂	ēi-bì-áisi shùzhī
AB型血	ēibìxíng血
AB膠	ēibìjiāo
ace球	èisi-qiú
䶣	ái
䑂	ǎi
𠊎	ái
𠵫	āng
䭹	áng
䀚	áng
䀂	ān
㛺	ān
䯥	àn
䮗	àn,yàn
㑃	ǎo
䵅	áo
䫜	āo
䯠	ǎo
APP	ēi pī pī
ASCII藝術	āsike yìshù
𠼞	ā
ATM機	ēi-tì-áimu jī
ATP酶	ēi-tì-pì-méi
AV	?
A型肝炎	ēixíng gānyán
A型血	ēixíng血
A片	ēipiàn
A版	ēi-bǎn
A站	ēi-zhàn
A肝	ēigān
A股	ēigǔ
A菜	ēi-cài
A貨	ēi-huò
A錢	ēi-qián,āi-qián
A面	ēi-miàn
㞎㞎	bǎba
㓦	bāi,bò
𠫛	bǎi
䴽	bài,pí
䳆	bái
㗑	bài
𨃅	bāi
㠔	bài
䰷	bàng
𠦆	bān
𨭉	bān
𧿨	bǎn
㚘	bàn
䭸	bǎo,fù
𨰻	bǎo
𠤏	bǎo
𠅬	Bāo
𢼌	bào
㞎	bǎ
䮂	bá
䶕	bā
䳊	bá
BB機	bìbìjī
BB霜	bibishuāng
𣖾	bèi
𤰈	bèi
𪜜	bèi
䰽	bèi
㔨	bèi
㛝	bèi
㑟	běng
䳞	běng
䨻	bèng
䭰	bèng
𩣺	bēn
𪰐	bèn
𩰍	biàn
𤆀	biāo
㘠	bī,bì
䳤	biē
䭱	bié
𠊧	bìng
㓈	bìng
𩰗	bīn,pīn
㡀	bì
㠲	bǐ
䮠	bī
㓖	bì
䯗	bì
䵗	bó,bí
䯋	bó,fèi
ㄅㄆㄇㄈ	bōpōmōfō,bēpēmēfē
䶈	bó
𪙍	bó
䮀	bó
䳁	bó
𨨏	bō
䰊	bó
BP機	bìpìjī
BT	?
𥑢	bù
䴺	bù
㚴	bù
𫜦	bǔ
B型肝炎	bìxíng gānyán
B型血	bìxíng血
B版	bì-bǎn
B站	bì-zhàn
B細胞	bì-xìbāo
B肝	bìgān
B股	bìgǔ
B超	bìchāo
B面	bì-miàn
䰂	cài
䴭	cái
䱗	cān
㛑	càn
𣦻	cán
䳻	cán,zhàn
𠀊	cāo
䵽	cà
CD	xìdì
CD光盤	sèidì guāngpán
CD播放器	xìdì 播fàngqì
CD播放機	xìdì 播fàngjī
CD機	xìdìjī
𤭢	cèi
䲋	cén
CF卡	sēi-áifu kǎ
䠆	cháng
䯴	cháng
䮖	chāng
𠼔	cháng
𧶧	chāng
𪓄	chán
𪙞	chǎn
㢟	chān
䱿	chàn
䴼	chàn
𢱟	chǎn
㚲	chān
䵐	chǎn
䰫	chāo,cháo,zhào
䏚	chǎo
䳂	chāo
𣱱	chá
䶪	chà
㛼	chā
䰩	chě,dū
㨃	chéng,duǐ
𨅝	chéng
㓌	chēng
䮪	chéng
㛵	chēng
㐼	chèng,zhěng
䫖	chěn
𧡬	chēn
㒤	chè
㒆	chì,kè,xì,xiào,yàn
㓼	chì
𢱟	chī
䰡	chì
䶔	chí
㓾	chí
𠩺	chí
䳯	chóng,chǒng
㓽	chóng
𪇘	chóu
䲖	chóu
𣗬	chòu
䴝	chuài
𩪘	chuáng
䫄	chuà
𤆬	chuā
䵵	chuā,zhuó
䏛	chǔn
䮞	chǔn
𤝞	chù
䳐	cì
䭣	cí
䰍	cì
㐸	cì
䯸	cì
䳷	cóng
Cookie	?
𪘓	cuó
䰈	cuó
䱜	cuò
䴾	cuó
C端	sēi-duān,xī-duān
C語言	sèi-yǔyán
C調	sèidiào
𥿝	dài
𨥶	dài
㐲	dài
䃮	dá
𨷾	dàng
㜭	dāng
䒟	dān
𠆶	dàn
䳉	dàn
𠈰	dàn
𪒾	dàn
𠇋	dǎn
𪵕	dǎo
䵣	dá
𡍲	dā,tà
㲪	dēng
㔁	dēng
䳾	dēng
䮴	dèng,tēng
の	de
䳂	diāo
䲽	diǎo
㒛	diào
𢲼	dié
䴑	dié
㲲	dié
䳀	dié,yì
㑙	dié,yǒng
䨤	dí
䏑	dì
䯼	dí
䱱	dì
䵠	dí
䴞	dí
䶍	dì
㓳	dī
𤴡	dì,zhì
DNA病毒	dì-ēn-ēi bìngdú
DNA酶	dì-ēn-ēi-méi
㓊	dòng
䂢	dǒng
䵔	dǒng
䰤	dōng
㚵	dōng
𠁁	dòu
㛒	dòu
䨺	duì
䭔	duī
䯟	duì,xiá
䯬	duǒ
㛆	duò
㛊	duǒ
䲊	duò,wěi,tuò
𪐞	dù
䲧	dù
𨧀	dù
䮷	dú
㓃	dù
DVD播放器	dìwēidì 播fàngqì
DVD機	dìwēidì jī
D日	dì-rì
ED	?
䭓	èn
䭡	èn
䎠	ér,nuò
䎟	ér
䋙	ěr
㛅	èr
䮘	ér
䱮	é
𧌄	è
㓵	è
䳬	è,yǎo,yì
e	yī,yì
e化	yìhuà
e商務	yìshāngwù
e商店	yìshāngdiàn
e商業	yìshāngyè
e地址	yìdìzhǐ
e學習	yì xuéxí
e客票	yìkèpiào
e招聘	yìzhāopìn
e書本	yì shūběn
E編碼	yì-biānmǎ
F1賽車	áifu-yī sàichē
𠆩	fàn,fán
㑂	fǎng,páng
